Previous PHEVs,Previous BEVs,Previous HEVs,Previous CNGs,Household Income,"Importance of reducing greenhouse gas emissions (-3 not important, 3 important)",Home ownership (own 1),Home Type (detached 1),Highest Level of Education,Longest trip in the last 12 months,Number of trips over 200 miles in the last 12 months,One-way commute distance,Number of people in the household,Age,Gender (Male 1),Number of vehicles in the household,Annual VMT Estimate ,Target,Model Year,Manufacture,Model
0.0,0.0,1.0,0.0,175000.0,2.49,0.0,1.0,4.0,434.39,0.0,36.07,2.0,55.0,1.0,2,16188.0,0.0,2017,12,8
1.0,0.0,1.0,0.0,125000.0,1.55,1.0,1.0,3.0,56.95,0.0,0.1,4.0,55.0,0.0,2,7521.599999999999,0.0,2016,12,8
1.0,0.0,0.0,0.0,225000.0,2.6,1.0,1.0,3.0,78.25,0.0,13.31,3.0,45.0,1.0,2,10714.285714285714,0.0,2017,12,8
0.0,0.0,0.0,0.0,75000.0,2.77,0.0,0.0,3.0,426.1,7.0,20.32,1.0,65.0,0.0,2,15396.0,0.0,2017,12,8
0.0,0.0,1.0,0.0,125000.0,2.72,1.0,1.0,3.0,226.02,6.0,12.87,2.0,55.0,1.0,2,16200.0,0.0,2016,12,8
1.0,1.0,0.0,0.0,125000.0,2.9,1.0,1.0,2.0,272.9,4.0,24.72,2.0,55.0,0.0,2,124696.0,0.0,2017,12,8
0.0,0.0,0.0,0.0,425000.0,-3.0,1.0,1.0,4.0,297.43,0.0,39.77,4.0,35.0,0.0,2,19950.0,0.0,2016,12,8
1.0,1.0,0.0,0.0,125000.0,2.86,1.0,1.0,4.0,516.46,3.0,5.83,2.0,65.0,0.0,2,6960.0,0.0,2017,12,8
0.0,0.0,0.0,0.0,175000.0,0.39,1.0,1.0,3.0,153.0,0.0,43.23,4.0,55.0,0.0,4,8970.0,0.0,2017,12,8
0.0,0.0,0.0,0.0,125000.0,2.52,1.0,1.0,2.0,179.06,0.0,10.8,1.0,65.0,0.0,2,12688.0,0.0,2017,12,8
0.0,0.0,1.0,0.0,225000.0,-3.0,1.0,1.0,3.0,230.34,0.0,1.19,2.0,55.0,0.0,2,5352.0,0.0,2017,12,8
0.0,0.0,0.0,0.0,175000.0,0.0,0.0,0.0,3.0,373.11,1.0,24.21,2.0,35.0,1.0,2,11850.0,0.0,2017,12,8
0.0,0.0,0.0,0.0,175000.0,2.75,1.0,1.0,4.0,197.05,15.0,4.93,2.0,35.0,0.0,1,20500.0,0.0,2016,12,8
0.0,1.0,0.0,0.0,125000.0,1.34,0.0,0.0,3.0,79.19,20.0,1.0,2.0,65.0,0.0,2,-59200.0,0.0,2017,12,8
0.0,0.0,1.0,0.0,125000.0,2.72,1.0,1.0,4.0,439.8,0.0,11.8,2.0,65.0,0.0,2,6947.368421052632,0.0,2016,12,8
0.0,0.0,1.0,0.0,125000.0,2.86,1.0,1.0,4.0,349.26,1.0,8.0,2.0,65.0,0.0,3,5142.857142857143,0.0,2017,12,8
1.0,0.0,0.0,0.0,225000.0,2.87,1.0,1.0,2.0,351.13,2.0,51.41,2.0,55.0,0.0,2,27570.0,0.0,2016,12,8
0.0,0.0,1.0,0.0,225000.0,2.84,1.0,1.0,3.0,534.1,0.0,11.87,4.0,45.0,0.0,3,8500.8,0.0,2017,12,8
0.0,0.0,0.0,0.0,175000.0,-0.74,1.0,1.0,4.0,371.97,1.0,14.17,4.0,45.0,0.0,3,9840.0,0.0,2016,12,8
0.0,1.0,1.0,0.0,500000.0,2.66,1.0,0.0,4.0,278.41,2.0,11.26,4.0,65.0,0.0,3,7680.0,0.0,2017,4,3
0.0,0.0,0.0,0.0,175000.0,0.0,1.0,1.0,3.0,115.95,0.0,47.62,3.0,35.0,0.0,3,10221.333333333334,0.0,2016,12,8
1.0,0.0,0.0,0.0,175000.0,2.78,1.0,0.0,4.0,117.52,2.0,3.82,1.0,65.0,0.0,2,8800.0,0.0,2016,12,8
0.0,0.0,0.0,0.0,325000.0,1.55,1.0,1.0,4.0,243.04,0.0,8.19,2.0,35.0,0.0,2,15333.333333333334,0.0,2015,5,15
0.0,0.0,1.0,0.0,125000.0,2.61,1.0,0.0,4.0,148.9,2.0,33.27,3.0,55.0,1.0,4,12428.57142857143,0.0,2017,12,8
0.0,0.0,1.0,0.0,175000.0,2.56,1.0,1.0,3.0,86.33,12.0,8.17,2.0,65.0,0.0,3,11571.724137931034,0.0,2015,5,15
0.0,1.0,1.0,0.0,275000.0,1.67,1.0,0.0,4.0,171.94,6.0,2.39,1.0,65.0,0.0,1,7764.7058823529405,0.0,2016,12,8
0.0,0.0,0.0,0.0,225000.0,2.61,1.0,0.0,3.0,413.11,8.0,45.25,2.0,55.0,0.0,2,8666.666666666666,0.0,2016,12,8
0.0,0.0,0.0,0.0,75000.0,2.95,0.0,0.0,2.0,78.14,1.0,21.82,2.0,45.0,1.0,3,13608.0,0.0,2017,12,8
0.0,1.0,0.0,0.0,500000.0,0.72,1.0,1.0,4.0,125.12,200.0,26.0,5.0,55.0,0.0,4,20520.0,0.0,2017,5,15
0.0,0.0,1.0,0.0,375000.0,2.72,1.0,1.0,3.0,125.26,6.0,7.58,3.0,45.0,0.0,4,10181.818181818182,0.0,2015,5,15
1.0,0.0,0.0,0.0,225000.0,2.42,1.0,1.0,4.0,466.58,0.0,5.58,2.0,65.0,0.0,2,8265.0,0.0,2017,12,8
0.0,0.0,0.0,0.0,75000.0,2.51,0.0,0.0,2.0,323.3,2.0,51.6,1.0,35.0,0.0,2,14113.2,0.0,2016,12,8
0.0,1.0,0.0,0.0,425000.0,0.58,1.0,1.0,3.0,140.09,0.0,6.52,2.0,65.0,0.0,2,12564.0,0.0,2017,5,15
