,Month Submitted,Year Submitted,lastpage. Last page,Previous PHEVs,Previous BEVs,Previous HEVs,Previous CNGs,Household Income,"Importance of reducing greenhouse gas emissions (-3 not important, 3 important)",Home ownership (own 1),Home Type (detached 1),Highest Level of Education,Longest trip in the last 12 months,Number of trips over 200 miles in the last 12 months,One-way commute distance,Number of people in the household,Age,Gender (Male 1),Number of vehicles in the household,Annual VMT Estimate,"FCV, BEV Dummy",Model Year,Manufacturer,Model
5002,5,2015,43.0,0,0,0,0,175000.0,2,1,1,4,421.49,0,5.07,4,45,0,2,7600,1.0,2013,Ford,Focus
5004,5,2015,43.0,0,0,1,0,325000.0,2,1,1,4,501.76,0,17.46,2,45,1,2,10500,1.0,2014,Toyota,RAV4 EV
5010,5,2015,43.0,0,0,0,0,125000.0,2,1,1,4,329.58,0,24.24,4,35,0,2,10907,1.0,2014,Nissan,Leaf
5013,5,2015,43.0,0,0,0,0,225000.0,1,1,1,4,240.87,0,20.29,5,35,0,3,10666,1.0,2014,Nissan,Leaf
5030,5,2015,43.0,0,0,1,0,225000.0,2,1,1,3,352.26,0,32.53,4,45,1,3,17920,1.0,2013,Nissan,Leaf
5033,5,2015,43.0,0,0,0,0,175000.0,2,1,1,4,116.54,0,7.66,4,45,0,2,12417,1.0,2013,Nissan,Leaf
5035,5,2015,43.0,0,0,0,0,275000.0,2,1,1,4,145.37,0,6.75,5,45,0,4,8400,1.0,2012,Nissan,Leaf
5044,5,2015,43.0,0,1,0,0,225000.0,2,0,0,4,435.06,25,24.93,2,35,0,1,22551,1.0,2012,Tesla,Model S
5045,5,2015,43.0,0,0,0,0,50000.0,2,0,0,4,261.93,2,12.77,2,35,0,2,12800,1.0,2014,Nissan,Leaf
5052,5,2015,43.0,0,0,1,0,175000.0,2,1,1,3,131.71,0,38.35,4,45,0,2,18250,1.0,2013,Nissan,Leaf
5067,5,2015,43.0,0,0,0,0,125000.0,1,1,1,4,567.95,0,10.97,4,55,0,3,11139,1.0,2014,Honda,Fit EV
5086,5,2015,43.0,0,0,1,0,225000.0,-2,1,1,3,266.3,0,30.66,3,65,0,4,14347,1.0,2013,Nissan,Leaf
5088,5,2015,43.0,0,0,0,0,225000.0,2,1,0,4,143.8,0,15.85,1,65,1,3,11040,1.0,2012,Toyota,RAV4 EV
5091,5,2015,43.0,1,0,0,0,125000.0,-1,1,1,4,96.12,0,2.35,4,45,0,3,8842,1.0,2013,Toyota,RAV4 EV
5096,5,2015,43.0,0,0,1,0,275000.0,-1,1,1,4,257.13,6,12.14,4,35,0,2,16363,1.0,2013,Tesla,Model S
5100,5,2015,43.0,0,0,0,0,125000.0,2,1,0,2,119.34,0,15.24,2,35,1,2,8894,1.0,2014,Fiat,500e
5104,5,2015,43.0,0,1,1,0,275000.0,2,1,1,4,323.5,0,8.35,4,55,0,2,9960,1.0,2014,Nissan,Leaf
5105,5,2015,43.0,0,0,0,0,125000.0,1,0,1,4,49.32,0,19.64,3,35,1,3,11111,1.0,2013,Nissan,Leaf
5112,5,2015,43.0,0,0,0,0,175000.0,2,1,1,4,618.22,0,20.96,2,65,0,3,11000,1.0,2012,Nissan,Leaf
5114,5,2015,43.0,0,1,0,0,275000.0,2,1,1,4,464.28,0,14.92,3,35,0,3,4125,1.0,2014,Tesla,Model S
5119,5,2015,43.0,0,1,0,0,325000.0,-2,1,1,4,550.88,8,7.53,5,45,0,2,13482,1.0,2013,Tesla,Model S
