 Index ,submitdate. Date submitted,Month/Year Submitted, Month Submitted ,  Year Submitted  , lastpage. Last page , Previous PHEVs , Previous BEVs , Previous HEVs , Previous CNGs , Household Income ," Importance of reducing greenhouse gas emissions (03 not important, 3 important) ", Home ownership (own 1) , Home Type (detached 1) , Highest Level of Education , Longest trip in the last 12 months , Number of trips over 200 miles in the last 12 months , One0way commute distance , Number of people in the household , Age , Gender (Male 1) , Number of vehicles in the household , Annual VMT Estimate  ," FCV, BEV Dummy ", Model Year , Manufacture , Model 
137,6/9/2017,6/1/2017,6,2017,42,0,0,1,0,125000,3,1,1,3,226,6,13,2,55,1,2,16200,0,2016, Toyota , Mirai 
139,6/8/2017,6/1/2017,6,2017,42,1,1,0,0,125000,3,1,1,2,273,4,25,2,55,0,2,124696,0,2017, Toyota , Mirai 
140,6/8/2017,6/1/2017,6,2017,42,0,0,0,0,425000,3,1,1,4,297,0,40,4,35,0,2,19950,0,2016, Toyota , Mirai 
141,6/8/2017,6/1/2017,6,2017,42,1,1,0,0,125000,3,1,1,4,516,3,6,2,65,0,2,6960,0,2017, Toyota , Mirai 
143,6/8/2017,6/1/2017,6,2017,42,0,0,0,0,175000,0,1,1,3,153,0,43,4,55,0,4,8970,0,2017, Toyota , Mirai 
145,6/8/2017,6/1/2017,6,2017,42,0,0,0,0,125000,3,1,1,2,179,0,11,1,65,0,2,12688,0,2017, Toyota , Mirai 
147,6/8/2017,6/1/2017,6,2017,42,0,0,1,0,225000,3,1,1,3,230,0,1,2,55,0,2,5352,0,2017, Toyota , Mirai 
151,6/8/2017,6/1/2017,6,2017,42,0,0,0,0,175000,0,0,0,3,373,1,24,2,35,1,2,11850,0,2017, Toyota , Mirai 
154,6/8/2017,6/1/2017,6,2017,42,0,0,0,0,175000,3,1,1,4,197,15,5,2,35,0,1,20500,0,2016, Toyota , Mirai 
155,6/8/2017,6/1/2017,6,2017,42,0,1,0,0,125000,1,0,0,3,79,20,1,2,65,0,2,59200,0,2017, Toyota , Mirai 
157,6/8/2017,6/1/2017,6,2017,42,0,0,1,0,125000,3,1,1,4,440,0,12,2,65,0,2,6947,0,2016, Toyota , Mirai 
160,6/8/2017,6/1/2017,6,2017,42,0,0,1,0,125000,3,1,1,4,349,1,8,2,65,0,3,5143,0,2017, Toyota , Mirai 
161,6/8/2017,6/1/2017,6,2017,42,1,0,0,0,225000,3,1,1,2,351,2,51,2,55,0,2,27570,0,2016, Toyota , Mirai 
164,6/8/2017,6/1/2017,6,2017,42,0,0,1,0,225000,3,1,1,3,534,0,12,4,45,0,3,8501,0,2017, Toyota , Mirai 
166,6/9/2017,6/1/2017,6,2017,42,0,0,0,0,175000,1,1,1,4,372,1,14,4,45,0,3,9840,0,2016, Toyota , Mirai 
167,6/9/2017,6/1/2017,6,2017,42,0,1,1,0,500000,3,1,0,4,278,2,11,4,65,0,3,7680,0,2017, Honda , Clarity 
169,6/9/2017,6/1/2017,6,2017,42,0,0,0,0,175000,0,1,1,3,116,0,48,3,35,0,3,10221,0,2016, Toyota , Mirai 
171,6/9/2017,6/1/2017,6,2017,42,1,0,0,0,175000,3,1,0,4,118,2,4,1,65,0,2,8800,0,2016, Toyota , Mirai 
175,6/9/2017,6/1/2017,6,2017,42,0,0,0,0,325000,2,1,1,4,243,0,8,2,35,0,2,15333,0,2015, Hyundai , Tuscan 
178,6/9/2017,6/1/2017,6,2017,42,0,0,1,0,125000,3,1,0,4,149,2,33,3,55,1,4,12429,0,2017, Toyota , Mirai 
180,6/14/2017,6/1/2017,6,2017,42,0,0,1,0,175000,3,1,1,3,86,12,8,2,65,0,3,11572,0,2015, Hyundai , tuscon 
183,6/10/2017,6/1/2017,6,2017,42,0,1,1,0,275000,2,1,0,4,172,6,2,1,65,0,1,7765,0,2016, Toyota , Mirai 
189,6/10/2017,6/1/2017,6,2017,42,0,0,0,0,225000,3,1,0,3,413,8,45,2,55,0,2,8667,0,2016, Toyota , Mirai 
190,6/10/2017,6/1/2017,6,2017,42,0,0,0,0,75000,3,0,0,2,78,1,22,2,45,1,3,13608,0,2017, Toyota , Mirai 
193,6/11/2017,6/1/2017,6,2017,42,0,1,0,0,500000,1,1,1,4,125,200,26,5,55,0,4,20520,0,2017, Hyundai ,  Tuscon 
194,6/27/2017,6/1/2017,6,2017,42,0,0,1,0,375000,3,1,1,3,125,6,8,3,45,0,4,10182,0,2015, Hyundai , Tucson 
196,6/11/2017,6/1/2017,6,2017,42,1,0,0,0,225000,2,1,1,4,467,0,6,2,65,0,2,8265,0,2017, Toyota , Mirai 
197,6/11/2017,6/1/2017,6,2017,42,0,0,0,0,75000,3,0,0,2,323,2,52,1,35,0,2,14113,0,2016, Toyota , Mirai 
198,6/11/2017,6/1/2017,6,2017,42,0,1,0,0,425000,1,1,1,3,140,0,7,2,65,0,2,12564,0,2017, Hyundai , Tucson 
200,6/11/2017,6/1/2017,6,2017,42,1,0,1,0,325000,3,0,0,4,141,2,32,2,45,0,2,8250,0,2017, Toyota , Mirai 
201,6/27/2017,6/1/2017,6,2017,42,0,0,0,0,175000,2,1,1,3,290,0,25,4,45,1,3,16860,0,2016, Toyota , Mirai 
202,6/11/2017,6/1/2017,6,2017,42,1,1,0,0,225000,3,1,1,4,84,1,5,4,55,0,4,6000,0,2017, Toyota , Mirai 
205,6/11/2017,6/1/2017,6,2017,42,0,0,0,0,225000,1,1,1,4,252,0,28,3,45,0,3,10600,0,2017, Toyota , Mirai 
206,6/12/2017,6/1/2017,6,2017,42,0,0,1,0,50000,2,1,0,4,347,0,5,3,55,0,3,10920,0,2016, Toyota , Mirai 
207,6/16/2017,6/1/2017,6,2017,42,0,1,0,0,125000,3,0,1,4,99,5,13,4,45,0,2,11273,0,2014, Hyundai , Tucson 
208,6/12/2017,6/1/2017,6,2017,42,0,0,0,0,125000,2,0,0,3,105,24,14,1,45,0,1,14000,0,2017, Toyota , Mirai 
209,6/12/2017,6/1/2017,6,2017,42,0,0,0,0,175000,2,1,1,4,70,1,15,2,35,0,2,10839,0,2015, Hyundai , Tucson 
212,6/12/2017,6/1/2017,6,2017,42,0,0,1,0,75000,2,1,1,4,204,0,15,4,35,0,3,9840,0,2017, Toyota , Mirai 
213,6/12/2017,6/1/2017,6,2017,42,0,0,1,0,75000,3,1,1,4,120,0,15,3,45,1,2,12632,0,2015, Hyundai , Tucson 
217,6/12/2017,6/1/2017,6,2017,42,0,0,1,0,375000,3,1,1,4,715,2,63,2,55,0,2,7500,0,2017, Toyota , Mirai 
218,6/12/2017,6/1/2017,6,2017,42,0,0,1,0,75000,2,1,1,2,411,220,1,4,75,0,5,75000,0,2017, Toyota , Mirai 
221,6/12/2017,6/1/2017,6,2017,42,0,0,0,0,75000,3,1,0,4,281,1,8,2,25,0,2,15000,0,2017, Honda , Clarity 
222,6/12/2017,6/1/2017,6,2017,42,0,0,0,0,125000,1,1,1,4,410,2,5,4,45,0,3,7368,0,2017, Honda , Clarity 
223,6/13/2017,6/1/2017,6,2017,42,0,0,0,0,225000,3,1,1,4,112,0,24,4,55,0,3,11760,0,2017, Honda , Clarity 
226,6/12/2017,6/1/2017,6,2017,42,1,0,1,0,125000,3,1,1,3,119,2,13,1,65,0,1,12588,0,2017, Honda , Clarity 
227,6/12/2017,6/1/2017,6,2017,42,0,0,0,0,225000,1,1,1,2,88,2,13,4,55,0,3,13846,0,2017, Honda , Clarity 
228,6/29/2017,6/1/2017,6,2017,42,1,0,1,0,225000,3,1,0,3,68,2,26,4,65,0,3,18286,0,2015, Hyundai , Tucson 
231,6/12/2017,6/1/2017,6,2017,42,0,0,0,0,125000,3,1,1,3,82,1,3,1,55,1,1,5616,0,2017, Honda , Clarity 
234,6/13/2017,6/1/2017,6,2017,42,1,0,1,0,175000,2,0,0,3,378,0,23,2,65,0,2,13580,0,2017, Toyota , Mirai 
235,6/16/2017,6/1/2017,6,2017,42,0,0,0,0,175000,3,1,0,2,99,1,10,1,65,0,1,6797,0,2016, Hyundai , Tucson 
237,6/13/2017,6/1/2017,6,2017,42,0,0,0,0,75000,1,1,0,2,448,1,5,2,65,0,2,14880,0,2017, Honda , Clarity 
239,6/14/2017,6/1/2017,6,2017,42,0,0,0,0,125000,1,1,1,3,243,0,22,2,55,0,3,14667,0,2016, Hyundai ,  Tucson 
240,6/14/2017,6/1/2017,6,2017,42,0,0,0,0,175000,2,1,1,3,438,5,20,4,35,0,3,13333,0,2015, Hyundai , Tuscon 
241,6/14/2017,6/1/2017,6,2017,42,0,0,0,0,75000,3,0,0,3,237,2,15,1,35,0,1,20997,0,2017, Toyota , Mirai 
243,6/14/2017,6/1/2017,6,2017,42,1,0,0,0,225000,2,1,1,4,290,0,34,6,45,0,3,14000,0,2017, Toyota , Mirai 
244,6/14/2017,6/1/2017,6,2017,42,1,0,0,0,500000,3,1,1,3,104,2,9,4,45,0,1,8907,0,2017, Hyundai , Tucson 
245,6/15/2017,6/1/2017,6,2017,42,0,0,0,0,375000,3,1,1,4,141,0,27,2,65,0,3,17316,0,2017, Honda , Clarity 
249,6/16/2017,6/1/2017,6,2017,42,0,0,0,0,175000,3,0,0,4,137,7,2,3,45,1,1,7000,0,2016, Hyundai , Tucson 
251,6/18/2017,6/1/2017,6,2017,42,0,0,0,0,175000,2,1,1,3,415,0,43,2,65,0,3,19800,0,2015, Hyundai , Tucson 
252,6/20/2017,6/1/2017,6,2017,42,0,0,1,0,225000,3,0,0,4,788,1,25,2,35,0,3,12800,0,2015, Hyundai , Tucson 
253,6/20/2017,6/1/2017,6,2017,42,0,0,0,0,275000,2,0,1,3,242,0,34,3,55,1,3,13800,0,2016, Hyundai , Tuscon 
254,6/20/2017,6/1/2017,6,2017,42,0,1,0,0,125000,3,1,1,3,225,1,38,3,45,0,1,37800,0,2017, Honda , Clarity 
256,6/21/2017,6/1/2017,6,2017,42,0,0,0,0,325000,3,1,1,3,376,1,15,4,55,0,3,6000,0,2017, Toyota , Mirai 
263,6/22/2017,6/1/2017,6,2017,42,0,1,0,0,500000,3,1,1,4,155,24,3,2,65,0,2,8400,0,2016, Toyota , Mirai 
