Previous PHEVs,Previous BEVs,Previous HEVs,Previous CNGs,Household Income,"Importance of reducing greenhouse gas emissions (-3 not important, 3 important)",Home ownership (own 1),Home Type (detached 1),Highest Level of Education,Longest trip in the last 12 months,Number of trips over 200 miles in the last 12 months,One-way commute distance,Number of people in the household,Age,Gender (Male 1),Number of vehicles in the household,Annual VMT Estimate,Target,Model Year,Manufacturer,Model
0,0,1,0,375000.0,2,1,1,3,125.26,6,7.58,3,45,0,4,10181,0.0,2015,5,14
1,0,0,0,225000.0,2,1,1,4,466.58,0,5.58,2,65,0,2,8265,0.0,2017,12,7
0,0,0,0,75000.0,2,0,0,2,323.3,2,51.6,1,35,0,2,14113,0.0,2016,12,7
0,1,0,0,425000.0,0,1,1,3,140.09,0,6.52,2,65,0,2,12564,0.0,2017,5,14
1,0,1,0,325000.0,2,0,0,4,140.93,2,32.09,2,45,0,2,8250,0.0,2017,12,7
0,0,0,0,175000.0,1,1,1,3,290.29,0,24.66,4,45,1,3,16860,0.0,2016,12,7
1,1,0,0,225000.0,2,1,1,4,83.56,1,5.35,4,55,0,4,6000,0.0,2017,12,7
0,0,0,0,225000.0,1,1,1,4,251.74,0,27.63,3,45,0,3,10600,0.0,2017,12,7
0,0,1,0,50000.0,-1,1,0,4,346.59,0,4.5,3,55,0,3,10920,0.0,2016,12,7
0,1,0,0,125000.0,2,0,1,4,98.51,5,13.39,4,45,0,2,11272,0.0,2014,5,14
0,0,0,0,125000.0,1,0,0,3,104.78,24,13.96,1,45,0,1,14000,0.0,2017,12,7
0,0,0,0,175000.0,1,1,1,4,70.36,1,15.32,2,35,0,2,10838,0.0,2015,5,14
0,0,1,0,75000.0,1,1,1,4,203.66,0,15.01,4,35,0,3,9840,0.0,2017,12,7
0,0,1,0,75000.0,2,1,1,4,120.28,0,15.03,3,45,1,2,12631,0.0,2015,5,14
0,0,1,0,375000.0,2,1,1,4,714.56,2,62.63,2,55,0,2,7500,0.0,2017,12,7
0,0,0,0,75000.0,2,1,0,4,281.1,1,8.22,2,25,0,2,15000,0.0,2017,4,3
0,0,0,0,125000.0,1,1,1,4,409.57,2,4.82,4,45,0,3,7368,0.0,2017,4,3
0,0,0,0,225000.0,2,1,1,4,111.94,0,24.38,4,55,0,3,11760,0.0,2017,4,3
1,0,1,0,125000.0,2,1,1,3,118.69,2,12.97,1,65,0,1,12588,0.0,2017,4,3
0,0,0,0,225000.0,1,1,1,2,88.21,2,12.95,4,55,0,3,13845,0.0,2017,4,3
1,0,1,0,225000.0,2,1,0,3,67.99,2,26.23,4,65,0,3,18285,0.0,2015,5,14
0,0,0,0,125000.0,2,1,1,3,81.5,1,3.32,1,55,1,1,5616,0.0,2017,4,3
1,0,1,0,175000.0,1,0,0,3,377.72,0,23.41,2,65,0,2,13580,0.0,2017,12,7
0,0,0,0,175000.0,2,1,0,2,98.88,1,9.65,1,65,0,1,6797,0.0,2016,5,14
0,0,0,0,75000.0,0,1,0,2,447.83,1,4.52,2,65,0,2,14880,0.0,2017,4,3
0,0,0,0,125000.0,0,1,1,3,243.44,0,22.07,2,55,0,3,14666,0.0,2016,5,14
0,0,0,0,175000.0,1,1,1,3,438.0,5,20.13,4,35,0,3,13333,0.0,2015,5,14
0,0,0,0,75000.0,2,0,0,3,236.77,2,14.89,1,35,0,1,20997,0.0,2017,12,7
0,0,0,0,375000.0,2,1,1,4,141.37,0,27.22,2,65,0,3,17316,0.0,2017,4,3
0,0,0,0,175000.0,2,0,0,4,137.36,7,1.82,3,45,1,1,7000,0.0,2016,5,14
0,0,0,0,175000.0,2,1,1,3,415.39,0,43.26,2,65,0,3,19800,0.0,2015,5,14
0,0,1,0,225000.0,2,0,0,4,788.46,1,24.94,2,35,0,3,12800,0.0,2015,5,14
0,0,0,0,275000.0,1,0,1,3,241.52,0,33.59,3,55,1,3,13800,0.0,2016,5,14
0,1,0,0,125000.0,2,1,1,3,224.59,1,37.6,3,45,0,1,37800,0.0,2017,4,3
0,0,0,0,325000.0,2,1,1,3,376.13,1,15.16,4,55,0,3,6000,0.0,2017,12,7
0,0,1,0,175000.0,2,1,0,4,201.25,0,17.01,4,45,0,2,7400,0.0,2017,12,7
0,0,1,1,125000.0,0,1,1,4,675.24,1,14.16,4,55,0,4,18075,0.0,2016,12,7
0,1,0,0,125000.0,2,1,1,4,326.38,0,14.95,4,55,0,2,10200,0.0,2016,12,7
0,0,1,0,125000.0,2,1,1,4,333.25,0,11.91,2,65,0,2,2880,0.0,2017,12,7
0,0,1,0,275000.0,2,1,1,2,222.46,0,18.1,3,55,0,3,11223,0.0,2017,12,7
0,0,0,0,125000.0,2,0,0,2,369.91,9,6.16,2,55,0,2,12750,0.0,2016,12,7
1,1,0,0,125000.0,2,1,1,4,146.6,0,51.08,4,45,0,2,21600,0.0,2017,12,7
1,0,1,0,175000.0,2,0,1,4,138.53,4,7.71,2,55,0,2,8842,0.0,2016,12,7
1,0,0,0,125000.0,2,1,1,4,155.59,0,34.81,4,45,0,4,11368,0.0,2016,12,7
0,0,1,0,75000.0,2,0,0,3,494.94,1,10.38,1,65,0,1,9688,0.0,2016,12,7
0,0,1,0,175000.0,1,1,1,2,675.33,12,31.63,2,45,0,2,21818,0.0,2016,12,7
0,0,0,0,175000.0,-2,1,1,4,1043.44,25,4.57,1,55,0,2,12400,0.0,2017,12,7
1,0,0,0,75000.0,2,1,1,3,127.9,20,2.06,4,55,0,2,14117,0.0,2016,12,7
1,0,0,0,125000.0,2,1,1,4,83.29,1,13.37,3,45,0,2,13760,0.0,2017,12,7
0,1,0,0,125000.0,2,1,1,3,426.38,0,29.95,3,55,0,3,15921,0.0,2016,12,7
0,0,1,0,75000.0,2,1,1,3,282.88,0,0.83,4,35,0,2,8400,0.0,2017,12,7
0,1,0,0,425000.0,2,1,1,4,471.91,0,0.28,4,45,0,3,15592,0.0,2017,12,7
0,1,0,0,75000.0,2,1,1,4,76.32,0,0.48,3,45,1,2,15600,0.0,2017,12,7
0,0,1,0,225000.0,0,1,1,4,793.93,3,3.04,4,65,0,3,9046,0.0,2017,12,7
0,0,0,0,75000.0,2,0,0,3,131.35,3,18.1,1,55,0,1,13542,0.0,2016,12,7
0,0,0,0,225000.0,2,1,1,2,256.05,0,34.55,3,45,0,4,19500,0.0,2016,12,7
1,1,0,0,225000.0,2,1,1,4,941.92,2,1.66,5,65,0,3,11460,0.0,2016,5,14
0,0,0,0,275000.0,2,1,1,4,220.91,0,14.62,3,35,0,2,14400,0.0,2017,12,7
0,0,1,0,175000.0,2,1,1,4,709.33,12,15.18,5,45,1,4,13080,0.0,2016,12,7
0,0,1,0,125000.0,2,1,1,4,122.42,2,8.07,4,35,1,2,11658,0.0,2017,12,7
1,0,0,0,275000.0,2,1,1,4,109.89,4,13.9,1,45,0,1,15302,0.0,2016,12,7
1,0,1,0,125000.0,2,1,1,4,437.35,0,5.93,4,45,1,4,9333,0.0,2017,12,7
0,0,0,0,50000.0,2,0,0,2,271.64,0,1.26,2,35,1,2,7885,0.0,2017,12,7
0,0,1,0,50000.0,2,1,0,4,404.11,2,47.22,1,65,1,1,10920,0.0,2017,12,7
0,0,1,0,125000.0,2,1,1,3,408.18,2,15.68,4,45,0,2,14000,0.0,2017,12,7
0,0,1,0,225000.0,1,1,1,4,101.93,0,18.97,5,55,1,4,12564,0.0,2017,12,7
0,0,0,0,175000.0,2,1,1,3,357.07,0,4.54,2,45,1,2,10140,0.0,2017,12,7
0,0,0,0,125000.0,2,0,0,3,109.78,1,8.61,1,45,0,1,10000,0.0,2017,12,7
0,0,0,0,175000.0,2,0,0,3,109.29,0,4.34,4,35,0,2,9000,0.0,2017,12,7
0,0,0,0,175000.0,2,1,1,4,265.94,0,3.88,2,65,0,2,11160,0.0,2017,12,7
0,0,1,0,125000.0,2,0,0,2,395.04,1,75.36,2,65,1,1,18300,0.0,2017,12,7
0,0,1,0,175000.0,2,0,0,3,853.74,2,12.18,2,45,1,2,20000,0.0,2017,12,7
0,0,0,0,125000.0,0,1,1,3,447.22,0,18.43,4,45,0,2,26800,0.0,2017,12,7
0,0,1,0,125000.0,2,0,1,3,486.81,0,16.4,3,65,0,2,19670,0.0,2017,12,7
0,1,0,0,50000.0,2,1,1,4,381.01,2,9.79,2,65,0,3,19800,0.0,2017,12,7
0,0,1,0,225000.0,2,1,1,2,378.52,0,28.38,3,45,0,2,18000,0.0,2017,12,7
0,0,0,0,325000.0,2,1,1,4,460.25,0,47.47,4,45,0,3,31200,0.0,2017,12,7
1,0,0,0,175000.0,1,1,1,3,121.36,0,1.1,2,45,0,3,6000,0.0,2017,12,7
0,0,0,0,375000.0,0,1,1,4,100.14,0,11.23,2,55,0,3,7536,0.0,2017,12,7
0,0,0,0,175000.0,2,0,0,4,199.96,10,42.24,4,55,0,3,22648,0.0,2017,12,7
0,0,0,0,125000.0,2,1,1,2,260.68,0,11.58,1,35,0,2,13632,0.0,2017,12,7
1,1,1,0,225000.0,2,1,1,4,427.84,0,23.91,2,65,0,3,10275,0.0,2017,12,7
0,1,0,0,175000.0,2,0,1,4,132.96,1,15.91,3,55,0,2,13800,0.0,2017,12,7
0,0,0,0,325000.0,2,1,1,4,330.96,0,18.41,4,45,1,3,18000,0.0,2017,12,7
0,0,1,0,375000.0,1,1,1,4,347.41,2,31.0,4,45,1,3,15000,0.0,2017,12,7
0,0,0,1,275000.0,2,1,1,4,387.83,0,32.6,5,55,0,4,24000,0.0,2017,12,7
0,0,0,0,175000.0,2,1,1,4,436.45,0,6.52,3,55,1,3,19536,0.0,2017,12,7
0,0,1,0,175000.0,2,0,0,4,128.9,4,23.17,2,35,0,1,16000,0.0,2017,12,7
0,0,0,0,75000.0,0,1,1,3,104.65,1,51.37,4,45,0,2,28350,0.0,2017,12,7
0,0,1,0,125000.0,1,1,1,4,959.34,0,28.13,3,35,0,2,14000,0.0,2017,12,7
0,0,0,0,225000.0,2,1,1,3,336.29,6,5.61,2,65,0,2,9600,0.0,2017,12,7
0,0,0,0,75000.0,2,1,0,2,847.38,0,18.6,2,45,1,2,10700,0.0,2017,12,7
0,1,0,0,225000.0,2,1,1,4,347.47,2,20.04,4,45,0,3,19320,0.0,2017,12,7
0,0,0,0,75000.0,2,1,1,4,125.92,0,8.11,1,55,1,2,12000,0.0,2017,12,7
1,0,0,0,125000.0,2,0,0,3,274.2,0,10.15,3,45,0,2,6857,0.0,2017,12,7
0,0,1,0,75000.0,2,1,0,2,93.15,2,18.18,4,55,0,2,12480,0.0,2017,12,7
0,0,0,0,325000.0,1,0,0,4,399.66,0,11.01,2,35,0,2,15160,0.0,2017,12,7
0,0,0,0,375000.0,2,1,1,4,161.97,0,16.98,2,65,0,2,9000,0.0,2017,12,7
0,1,0,0,175000.0,2,1,0,4,747.72,0,34.51,2,35,0,2,11604,0.0,2017,12,7
0,0,1,0,175000.0,2,1,1,4,86.89,0,9.61,4,35,1,2,12000,0.0,2017,12,7
0,0,1,0,125000.0,2,1,1,3,129.09,1,5.25,2,55,0,2,11110,0.0,2017,12,7
1,1,1,0,325000.0,3,1,1,4,97.33,2,28.24,4,35,0,4,18000,0.0,2017,12,7
1,0,0,0,75000.0,2,0,0,4,92.23,0,1.92,4,45,0,2,38980,0.0,2017,12,7
0,0,0,0,225000.0,0,1,1,4,395.48,0,33.58,4,55,0,2,21600,0.0,2017,12,7
0,1,0,0,325000.0,2,1,1,4,868.59,0,26.21,3,55,1,2,10000,0.0,2017,12,7
0,0,0,0,75000.0,2,0,0,4,127.2,4,8.96,2,35,0,2,12252,0.0,2017,12,7
0,0,0,0,375000.0,2,1,1,4,255.62,0,17.28,4,45,0,3,18090,0.0,2017,12,7
0,0,1,0,125000.0,2,1,1,3,142.06,0,4.09,2,45,1,2,9000,0.0,2017,12,7
0,0,0,0,175000.0,2,0,1,3,80.33,1,22.82,4,35,0,2,7504,0.0,2017,12,7
0,0,0,0,75000.0,2,0,0,3,85.92,10,1.46,1,65,1,1,8000,0.0,2017,12,7
0,0,0,0,225000.0,1,0,0,4,84.59,1,4.68,4,35,1,2,10285,0.0,2017,12,7
0,0,0,0,275000.0,2,1,1,3,242.78,0,9.62,4,45,0,2,10588,0.0,2016,12,7
0,0,0,0,75000.0,2,0,0,4,416.5,2,49.05,2,25,1,3,5810,0.0,2017,12,7
0,0,0,0,125000.0,-2,1,1,3,571.75,0,15.58,2,55,0,3,10992,1.0,2013,4,4
0,0,1,0,225000.0,1,1,1,4,120.4,0,2.19,2,55,0,2,5714,1.0,2014,1,13
0,0,0,0,375000.0,2,1,1,3,407.45,0,40.95,5,45,0,2,16800,1.0,2013,9,6
0,0,1,0,275000.0,2,1,1,4,123.65,0,3.04,3,45,0,2,6000,1.0,2012,9,6
0,0,0,0,125000.0,0,1,1,4,289.51,0,47.75,2,65,0,2,14250,1.0,2014,12,10
0,0,1,0,75000.0,2,1,0,4,113.45,0,24.4,2,55,0,2,14727,1.0,2013,9,6
0,0,0,0,225000.0,0,1,1,3,399.26,0,14.12,4,35,0,2,9818,1.0,2014,12,10
1,0,0,0,325000.0,1,1,1,4,372.35,5,2.9,4,55,0,2,20530,1.0,2013,11,8
0,0,0,0,125000.0,-3,1,0,3,396.17,0,14.22,4,35,0,2,11200,1.0,2013,9,6
0,0,0,0,175000.0,2,0,1,3,113.05,0,10.12,2,35,1,2,6000,1.0,2014,10,16
0,0,1,0,325000.0,-2,1,1,4,81.15,0,29.6,4,45,0,2,11454,1.0,2014,1,13
0,0,0,0,325000.0,2,1,1,4,235.49,0,18.36,2,35,0,2,8400,1.0,2013,9,6
0,0,0,0,75000.0,2,1,1,3,359.34,0,10.93,1,25,0,2,7675,1.0,2013,2,0
0,0,0,0,375000.0,1,1,1,4,473.36,0,14.53,4,45,0,2,12000,1.0,2013,9,6
0,0,0,0,275000.0,0,1,1,4,155.66,0,10.2,3,45,1,4,3382,1.0,2013,2,0
0,0,1,0,125000.0,2,1,1,4,221.14,1,9.73,1,45,0,2,10285,1.0,2013,9,6
0,1,0,0,75000.0,2,1,1,4,76.58,3,11.65,3,45,1,1,10909,1.0,2013,9,6
1,0,0,0,175000.0,2,1,1,4,220.7,2,7.65,3,45,0,2,12342,1.0,2013,11,8
0,0,0,0,175000.0,2,1,1,4,805.83,2,1.91,3,55,0,2,10654,1.0,2013,11,8
0,0,0,0,275000.0,2,1,1,4,280.41,0,12.49,3,55,0,3,7764,1.0,2013,2,0
0,0,0,0,175000.0,2,1,0,3,384.41,1,12.11,1,35,0,1,9000,1.0,2013,11,8
0,0,0,0,375000.0,2,1,1,4,13.65,0,17.54,4,45,1,3,15428,1.0,2014,9,6
0,0,0,0,225000.0,2,1,1,4,81.36,0,33.28,4,45,0,3,18000,1.0,2013,9,6
1,0,0,0,275000.0,2,0,0,3,221.51,0,35.85,1,65,0,3,3818,1.0,2014,2,0
0,0,0,0,125000.0,1,1,1,3,244.48,0,21.03,4,55,0,3,13993,1.0,2012,9,6
0,1,0,0,125000.0,2,1,1,4,386.61,0,5.41,2,45,1,2,8157,1.0,2013,9,6
0,0,0,0,325000.0,1,1,1,4,181.44,10,10.62,1,55,1,2,12521,1.0,2013,11,8
0,0,0,0,225000.0,2,1,1,3,499.87,0,9.02,1,65,0,2,12818,1.0,2011,9,6
